School,Campus,Curriculum,Latitude,Longitude,Website,Last verified
Acumen International School,Mokila,International (unspecified),17.4635,78.2045,https://acumenschool.in/,16-08-2026
Al-Falah School,Qutub Shahi Tombs,CBSE,17.3621,78.4358,https://www.alfalahschool.net/,16-08-2026
Arka International School,Almasguda,CBSE,17.322,78.517,https://www.arkaschool.com/,16-08-2026
Army Public School,RK Puram,CBSE,17.5,78.505,https://www.apsrkpuram.edu.in,16-08-2026
Army Public School,Bolarum,CBSE,17.5112,78.5103,https://apsbolarum.edu.in/,16-08-2026
Azaan International School,Tolichowki,CBSE,17.397,78.421,https://www.azaanschool.com,16-08-2026
Bharatiya Vidya Bhavan's Atmakuri Rama Rao School,Jubilee Hills,CBSE,17.432,78.407,https://www.bvbarr.edu.in,
Bharatiya Vidya Bhavan's Public School,Vidyashram BHEL,CBSE,17.512,78.301,https://www.bvbpsjh.com,
Bharatiya Vidya Bhavan's Public School,Jubilee Hills,CBSE,17.432,78.407,https://www.bvbpsjh.com,
Bharatiya Vidya Bhavan's Vidyashram,Jubilee Hills,CBSE,17.432,78.407,https://www.bvbpsjh.com,
Bharatiya Vidya Bhavan's Vidyashram,NIRD Rajendranagar,CBSE,17.319,78.403,https://www.bvbpsjh.com,
Birla Open Minds International School,Kollur,CBSE;Cambridge,17.4651,78.2815,https://www.birlaopenminds.com,16-08-2026
Candor Shrine iSchool,Pedda Amberpet,CBSE,17.3056,78.6531,https://www.candorshrineischool.com,
CGR International School,Madhapur,CBSE,17.447,78.376,https://cgrinternationalschool.edu.in,16-08-2026
Chinmaya Vidyalaya,Kundanbagh,CBSE,17.4372,78.4552,https://www.chinmayavidyalayahyderabad.org,
Chirec International School,Kondapur,CBSE,17.461,78.357,https://www.chirec.ac.in/kp-overview/,16-08-2026
Chirec International School,Gachibowli,CBSE;Cambridge,17.44,78.349,https://www.chirec.ac.in/gb-overview/,16-08-2026
Chirec International School,Lingampally,IB;Cambridge,17.4855,78.318,https://www.chirec.ac.in/serilingampally-overview/,16-08-2026
CMR International School,Jeedimetla,CBSE,17.515,78.462,https://cmrisshapur.com/,
CMR International School,Suraram,CBSE,17.536,78.463,https://cmrinternationalsuraram.com/,
DAV Public School,Safilguda / Neredmet,CBSE,17.476,78.523,https://www.davblp.org,
DAV Public School,Banjara Hills,CBSE,17.415,78.448,https://www.davblp.org,
DAV Public School,Kukatpally,CBSE,17.494,78.399,https://www.davblp.org,
Delhi Public School,DPS Nacharam,CBSE;Cambridge,17.464865, 78.491817,https://www.dpsnacharam.in/,
Delhi Public School,Khajaguda,CBSE,17.418025, 78.371034,https://www.dpshyderabad.in,
Delhi Public School,Mahendra Hills,CBSE;Cambridge,17.462,78.497,https://www.dpsmahendrahills.in/,
Delhi Public School,Nadergul,CBSE;Cambridge,17.267705, 78.544485,https://www.dpsnadergul.in/,
Delhi Public School,Santoshnagar,CBSE,17.354728, 78.514335,https://www.dpssantoshnagar.in/,
Delhi Public School,Aero City, CBSE,17.256293, 78.437589,https://www.dpsaerocity.in/,
